Bo_Age,Ln_Orig,Orig_LTV_Ratio_Pct,Credit_score,First_home,Tot_mthly_debt_exp,Tot_mthly_incm,orig_apprd_val_amt,pur_prc_amt,DTI Ratio,Status,OUTCOME,State,Median_state_inc,UPB>Appraisal
18,52380,97,643,N,2589,7497,241000,230000,0.345338,Active,non-default,VA,"53,275",0
18,79800,95,707,N,1267,57046,86000,83001,0.02221,Active,non-default,WI,"47,220",0
18,90000,90,646,N,4022,44013,221500,220000,0.091382,Pay-off,non-default,MD,"56,763",0
18,104700,100,620,N,2470,5000,167500,167500,0.494,Active,non-default,AL,"38,111",0
19,42440,100,775,N,4401,8252,319000,299000,0.533325,Pay-off,non-default,NC,"39,000",0
19,57920,95,636,N,1597,7190,220000,57920,0.222114,Pay-off,non-default,FL,"40,171",0
19,74900,100,729,N,2163,7800,243000,242900,0.277308,Pay-off,non-default,OH,"44,160",0
19,82500,100,687,N,3068,7916,355000,352688,0.387569,Pay-off,non-default,CA,"49,894",0
19,168800,98,760,N,2537,6100,330000,329600,0.415902,Active,non-default,NY,"44,228",0
19,251230,97,786,N,1535,2861,132000,131100,0.536526,Pay-off,non-default,WI,"47,220",1
20,31500,100,662,N,1557,8500,213000,31500,0.183176,Pay-off,non-default,CO,"51,022",0
20,40500,90,683,N,2400,8355,206000,205000,0.287253,Active,non-default,VA,"53,275",0
20,41990,96,673,N,2547,8300,305000,41990,0.306867,Pay-off,non-default,FL,"40,171",0
20,57095,95,687,N,3227,6786,185000,185000,0.475538,Pay-off,non-default,NJ,"56,772",0
20,59000,100,668,N,0,6300,335000,59000,0,Pay-off,non-default,HI,"53,123",0
20,65000,100,673,N,2102,5420,172000,170168,0.387823,Active,non-default,FL,"40,171",0
20,65500,100,704,N,2666,7798,260000,259950,0.341883,Active,non-default,VA,"53,275",0
20,70000,100,698,N,1993,7357,206000,204900,0.270898,Active,non-default,MO,"43,988",0
20,70000,100,749,N,3889,5133,210000,209051,0.757647,Pay-off,non-default,CA,"49,894",0
20,71300,100,648,N,3267,7200,140000,139977,0.45375,Pay-off,non-default,FL,"40,171",0
20,74000,90,769,N,1671,8186,228000,228000,0.204129,Active,non-default,VA,"53,275",0
20,80500,97,698,Y,1860,4597,118000,116789,0.404612,Pay-off,non-default,GA,"43,217",0
20,81746,52,713,N,3171,5903,345000,344490,0.537184,Active,non-default,NV,"46,984",0
20,84150,98,590,N,1606,5181,282000,281114,0.309979,Pay-off,non-default,IL,"45,787",0
20,91180,97,794,N,1567,7592,185000,185000,0.206401,Pay-off,non-default,FL,"40,171",0
20,91500,100,594,N,3040,5445,205000,205000,0.55831,Pay-off,non-default,FL,"40,171",0
20,106600,97,676,Y,2577,6125,175000,165000,0.420735,Active,non-default,WA,"48,688",0
20,108800,80,675,N,0,5025,392000,392000,0,Pay-off,non-default,NY,"44,228",0
20,117000,100,704,N,2553,7513,118000,116900,0.339811,Active,non-default,IN,"43,003",0
20,117200,100,623,N,1750,5008,179000,179000,0.349441,Active,non-default,MI,"44,476",0
20,117600,79,607,N,2170,3750,93000,91670,0.578667,Active,non-default,TX,"41,275",1
20,123800,100,682,Y,3673,7367,220000,211050,0.498575,Pay-off,non-default,TX,"41,275",0
20,130770,100,655,N,1554,6828,187500,187500,0.227592,Active,non-default,MD,"56,763",0
20,144150,90,722,N,1866,7300,289000,289000,0.255616,Pay-off,non-default,CA,"49,894",0
20,196650,95,628,Y,752,3697,45500,45000,0.203408,Active,non-default,KS,"43,725",1
20,199955,102,672,N,1139,3344,88000,87000,0.34061,Pay-off,non-default,IL,"45,787",1
